I4	0.69	0.71	0.71	0.72	0.72	0.73	0.73	0.73	0.74	0.74	0.75	0.75	0.75	0.74	0.74	0.74	0.75	0.75	0.76	0.77	0.79	0.81	0.9	1.03	1.3	1.82	2.79	4.52	7.46	11.66	16.68	21.31	24.43	26.46	27.75	28.7	29.28	29.8	30.16	30.38	30.7	30.82	31.02	31.13	31.24	31.24	31.31	31.34	31.45	31.43
J4	0.81	0.82	0.83	0.82	0.84	0.85	0.84	0.86	0.85	0.85	0.86	0.86	0.85	0.86	0.86	0.85	0.87	0.88	0.86	0.88	0.89	0.92	0.96	1.05	1.22	1.54	2.18	3.36	5.39	8.71	13.33	18.56	23.14	26.4	28.53	30.07	31.21	32.04	32.58	33.05	33.43	33.74	33.91	34.15	34.28	34.37	34.51	34.62	34.7	34.75
I5	0.73	0.75	0.75	0.76	0.78	0.77	0.77	0.79	0.77	0.78	0.78	0.78	0.77	0.79	0.79	0.78	0.8	0.81	0.81	0.86	0.93	1.06	1.32	1.82	2.8	4.54	7.44	11.64	16.72	21.31	24.59	26.62	27.99	28.98	29.59	30.22	30.54	30.88	31.17	31.35	31.57	31.6	31.76	31.83	31.82	31.89	31.94	31.98	32.01	32.03
J5	0.6	0.63	0.63	0.63	0.63	0.63	0.63	0.64	0.64	0.64	0.65	0.65	0.66	0.65	0.64	0.65	0.68	0.67	0.69	0.73	0.8	0.95	1.23	1.77	2.79	4.54	7.41	11.25	15.49	18.95	21.28	22.68	23.61	24.32	24.75	25.15	25.47	25.66	25.86	25.92	26.13	26.19	26.29	26.32	26.38	26.35	26.41	26.45	26.49	26.49
I6	0.51	0.51	0.51	0.51	0.51	0.53	0.51	0.53	0.51	0.53	0.51	0.52	0.52	0.53	0.54	0.54	0.54	0.54	0.55	0.56	0.62	0.7	0.85	1.17	1.76	2.84	4.69	7.46	10.92	14.27	16.81	18.43	19.4	20.16	20.7	21.09	21.34	21.61	21.78	21.88	22	22.09	22.15	22.23	22.26	22.33	22.31	22.35	22.38	22.38
J6	0.61	0.63	0.62	0.63	0.64	0.64	0.64	0.64	0.64	0.65	0.65	0.66	0.65	0.65	0.65	0.65	0.66	0.68	0.7	0.73	0.79	0.92	1.18	1.65	2.57	4.22	6.9	10.7	15.2	19.18	21.84	23.54	24.54	25.33	25.91	26.33	26.65	26.86	27.03	27.18	27.32	27.45	27.47	27.51	27.6	27.6	27.66	27.7	27.69	27.7
K1	0.77	0.8	0.8	0.8	0.81	0.81	0.8	0.8	0.8	0.81	0.8	0.81	0.8	0.81	0.83	0.82	0.83	0.85	0.88	0.95	1.08	1.32	1.78	2.65	4.14	6.37	8.97	11.13	12.62	13.63	14.35	14.92	15.36	15.74	16.06	16.36	16.58	16.83	16.96	17.14	17.29	17.4	17.55	17.57	17.72	17.82	17.86	17.91	18.02	18.04
L1	0.84	0.87	0.88	0.87	0.89	0.88	0.89	0.87	0.88	0.88	0.88	0.89	0.88	0.91	0.89	0.9	0.91	0.95	1	1.12	1.37	1.8	2.63	4.15	6.56	9.9	13.37	15.86	17.39	18.38	19.14	19.65	20.14	20.52	20.85	21.16	21.4	21.59	21.75	21.92	22.04	22.16	22.26	22.34	22.44	22.52	22.58	22.64	22.65	22.76
K2	0.94	0.97	0.99	1	0.99	1	1.01	1.01	1.01	1.02	1	1.03	1.02	1.01	1.03	1.03	1.04	1.04	1.07	1.13	1.23	1.41	1.76	2.41	3.6	5.56	8.33	11.51	14.34	16.61	18.33	19.64	20.65	21.49	22.16	22.73	23.26	23.63	23.97	24.32	24.59	24.79	25	25.19	25.38	25.47	25.58	25.71	25.8	25.81
L2	0.91	0.94	0.91	0.93	0.93	0.93	0.95	0.94	0.96	0.95	0.96	0.97	0.96	0.95	0.96	0.96	0.98	0.98	0.98	1.03	1.09	1.22	1.44	1.88	2.7	4.15	6.42	9.53	12.77	15.42	17.44	18.97	20.13	21	21.8	22.4	22.88	23.35	23.68	24.04	24.29	24.49	24.74	24.91	25.08	25.22	25.35	25.47	25.52	25.63
